local,raca_cor,ano,obito_materno
Brasil,Amarela,1996,16
Brasil,Amarela,1997,15
Brasil,Amarela,1998,15
Brasil,Amarela,1999,42
Brasil,Amarela,2000,15
Brasil,Amarela,2001,4
Brasil,Amarela,2002,8
Brasil,Amarela,2003,8
Brasil,Amarela,2004,4
Brasil,Amarela,2005,7
Brasil,Amarela,2006,7
Brasil,Amarela,2007,4
Brasil,Amarela,2008,5
Brasil,Amarela,2009,2
Brasil,Amarela,2010,4
Brasil,Amarela,2011,3
Brasil,Amarela,2012,3
Brasil,Amarela,2013,3
Brasil,Amarela,2014,3
Brasil,Amarela,2015,2
Brasil,Amarela,2016,3
Brasil,Amarela,2017,8
Brasil,Amarela,2018,8
Brasil,Amarela,2019,1
Brasil,Amarela,2020,10
Brasil,Amarela,2021,"6,00"
Brasil,Amarela, Total período,206
Brasil,Branca,1996,21
Brasil,Branca,1997,436
Brasil,Branca,1998,686
Brasil,Branca,1999,638
Brasil,Branca,2000,647
Brasil,Branca,2001,574
Brasil,Branca,2002,609
Brasil,Branca,2003,570
Brasil,Branca,2004,615
Brasil,Branca,2005,545
Brasil,Branca,2006,578
Brasil,Branca,2007,524
Brasil,Branca,2008,580
Brasil,Branca,2009,638
Brasil,Branca,2010,595
Brasil,Branca,2011,524
Brasil,Branca,2012,534
Brasil,Branca,2013,525
Brasil,Branca,2014,528
Brasil,Branca,2015,559
Brasil,Branca,2016,525
Brasil,Branca,2017,562
Brasil,Branca,2018,505
Brasil,Branca,2019,475
Brasil,Branca,2020,589
Brasil,Branca,2021,"1.051,00"
Brasil,Branca, Total período,14.633
Brasil,Ignorado,1994,0
Brasil,Ignorado,1995,0
Brasil,Ignorado,1996,1476
Brasil,Ignorado,1997,1.047
Brasil,Ignorado,1998,680
Brasil,Ignorado,1999,487
Brasil,Ignorado,2000,279
Brasil,Ignorado,2001,217
Brasil,Ignorado,2002,189
Brasil,Ignorado,2003,183
Brasil,Ignorado,2004,151
Brasil,Ignorado,2005,129
Brasil,Ignorado,2006,121
Brasil,Ignorado,2007,100
Brasil,Ignorado,2008,104
Brasil,Ignorado,2009,131
Brasil,Ignorado,2010,90
Brasil,Ignorado,2011,93
Brasil,Ignorado,2012,71
Brasil,Ignorado,2013,69
Brasil,Ignorado,2014,59
Brasil,Ignorado,2015,62
Brasil,Ignorado,2016,48
Brasil,Ignorado,2017,40
Brasil,Ignorado,2018,38
Brasil,Ignorado,2019,36
Brasil,Ignorado,2020,53
Brasil,Ignorado,2021,"55,00"
Brasil,Ignorado, Total período,6.008
Brasil,Indígena,1996,2
Brasil,Indígena,1997,4
Brasil,Indígena,1998,7
Brasil,Indígena,1999,2
Brasil,Indígena,2000,16
Brasil,Indígena,2001,24
Brasil,Indígena,2002,12
Brasil,Indígena,2003,10
Brasil,Indígena,2004,11
Brasil,Indígena,2005,21
Brasil,Indígena,2006,18
Brasil,Indígena,2007,23
Brasil,Indígena,2008,14
Brasil,Indígena,2009,25
Brasil,Indígena,2010,18
Brasil,Indígena,2011,29
Brasil,Indígena,2012,23
Brasil,Indígena,2013,29
Brasil,Indígena,2014,21
Brasil,Indígena,2015,36
Brasil,Indígena,2016,21
Brasil,Indígena,2017,25
Brasil,Indígena,2018,26
Brasil,Indígena,2019,25
Brasil,Indígena,2020,29
Brasil,Indígena,2021,"43,00"
Brasil,Indígena, Total período,514
Brasil,Parda,1996,5
Brasil,Parda,1997,259
Brasil,Parda,1998,518
Brasil,Parda,1999,561
Brasil,Parda,2000,557
Brasil,Parda,2001,584
Brasil,Parda,2002,653
Brasil,Parda,2003,656
Brasil,Parda,2004,680
Brasil,Parda,2005,761
Brasil,Parda,2006,727
Brasil,Parda,2007,761
Brasil,Parda,2008,810
Brasil,Parda,2009,874
Brasil,Parda,2010,831
Brasil,Parda,2011,805
Brasil,Parda,2012,780
Brasil,Parda,2013,878
Brasil,Parda,2014,926
Brasil,Parda,2015,903
Brasil,Parda,2016,896
Brasil,Parda,2017,896
Brasil,Parda,2018,904
Brasil,Parda,2019,855
Brasil,Parda,2020,1.055
Brasil,Parda,2021,"1.520,00"
Brasil,Parda, Total período,19.655
Brasil,Preta,1996,
Brasil,Preta,1997,90
Brasil,Preta,1998,136
Brasil,Preta,1999,138
Brasil,Preta,2000,163
Brasil,Preta,2001,174
Brasil,Preta,2002,184
Brasil,Preta,2003,157
Brasil,Preta,2004,180
Brasil,Preta,2005,157
Brasil,Preta,2006,172
Brasil,Preta,2007,178
Brasil,Preta,2008,168
Brasil,Preta,2009,202
Brasil,Preta,2010,181
Brasil,Preta,2011,156
Brasil,Preta,2012,172
Brasil,Preta,2013,182
Brasil,Preta,2014,202
Brasil,Preta,2015,176
Brasil,Preta,2016,177
Brasil,Preta,2017,187
Brasil,Preta,2018,177
Brasil,Preta,2019,184
Brasil,Preta,2020,229
Brasil,Preta,2021,"355,00"
Brasil,Preta, Total período,4.477
Brasil,Total,1994,0
Brasil,Total,1995,0
Brasil,Total,1996,1520
Brasil,Total,1997,1.851
Brasil,Total,1998,2.042
Brasil,Total,1999,1.868
Brasil,Total,2000,1.677
Brasil,Total,2001,1.577
Brasil,Total,2002,1.655
Brasil,Total,2003,1.584
Brasil,Total,2004,1.641
Brasil,Total,2005,1.620
Brasil,Total,2006,1.623
Brasil,Total,2007,1.590
Brasil,Total,2008,1.681
Brasil,Total,2009,1.872
Brasil,Total,2010,1.719
Brasil,Total,2011,1.610
Brasil,Total,2012,1.583
Brasil,Total,2013,1.686
Brasil,Total,2014,1.739
Brasil,Total,2015,1.738
Brasil,Total,2016,1.670
Brasil,Total,2017,1.718
Brasil,Total,2018,1.658
Brasil,Total,2019,1.576
Brasil,Total,2020,1.965
Brasil,Total,2021,"3.030,00"
Brasil,Total, Total período,45.493
Ceará,Amarela,1996,0
Ceará,Amarela,1997,1
Ceará,Amarela,1998,2
Ceará,Amarela,1999,8
Ceará,Amarela,2000,2
Ceará,Amarela,2001,1
Ceará,Amarela,2002,0
Ceará,Amarela,2003,0
Ceará,Amarela,2004,0
Ceará,Amarela,2005,2
Ceará,Amarela,2006,0
Ceará,Amarela,2007,0
Ceará,Amarela,2008,0
Ceará,Amarela,2009,0
Ceará,Amarela,2010,0
Ceará,Amarela,2011,1
Ceará,Amarela,2012,0
Ceará,Amarela,2013,0
Ceará,Amarela,2014,0
Ceará,Amarela,2015,0
Ceará,Amarela,2016,0
Ceará,Amarela,2017,1
Ceará,Amarela,2018,0
Ceará,Amarela,2019,0
Ceará,Amarela,2020,2
Ceará,Amarela,2021,1
Ceará,Amarela, Total período,21
Ceará,Branca,1996,0
Ceará,Branca,1997,8
Ceará,Branca,1998,15
Ceará,Branca,1999,7
Ceará,Branca,2000,21
Ceará,Branca,2001,22
Ceará,Branca,2002,27
Ceará,Branca,2003,18
Ceará,Branca,2004,15
Ceará,Branca,2005,24
Ceará,Branca,2006,19
Ceará,Branca,2007,14
Ceará,Branca,2008,10
Ceará,Branca,2009,13
Ceará,Branca,2010,19
Ceará,Branca,2011,15
Ceará,Branca,2012,25
Ceará,Branca,2013,19
Ceará,Branca,2014,19
Ceará,Branca,2015,5
Ceará,Branca,2016,18
Ceará,Branca,2017,9
Ceará,Branca,2018,16
Ceará,Branca,2019,10
Ceará,Branca,2020,24
Ceará,Branca,2021,24
Ceará,Branca, Total período,416
Ceará,Ignorado,1994,0
Ceará,Ignorado,1995,0
Ceará,Ignorado,1996,110
Ceará,Ignorado,1997,88
Ceará,Ignorado,1998,86
Ceará,Ignorado,1999,51
Ceará,Ignorado,2000,28
Ceará,Ignorado,2001,32
Ceará,Ignorado,2002,16
Ceará,Ignorado,2003,25
Ceará,Ignorado,2004,22
Ceará,Ignorado,2005,13
Ceará,Ignorado,2006,6
Ceará,Ignorado,2007,6
Ceará,Ignorado,2008,2
Ceará,Ignorado,2009,16
Ceará,Ignorado,2010,14
Ceará,Ignorado,2011,10
Ceará,Ignorado,2012,5
Ceará,Ignorado,2013,2
Ceará,Ignorado,2014,6
Ceará,Ignorado,2015,1
Ceará,Ignorado,2016,2
Ceará,Ignorado,2017,3
Ceará,Ignorado,2018,1
Ceará,Ignorado,2019,1
Ceará,Ignorado,2020,2
Ceará,Ignorado,2021,2
Ceará,Ignorado, Total período,550
Ceará,Indígena,1996,0
Ceará,Indígena,1997,0
Ceará,Indígena,1998,1
Ceará,Indígena,1999,0
Ceará,Indígena,2000,0
Ceará,Indígena,2001,0
Ceará,Indígena,2002,0
Ceará,Indígena,2003,0
Ceará,Indígena,2004,0
Ceará,Indígena,2005,0
Ceará,Indígena,2006,0
Ceará,Indígena,2007,0
Ceará,Indígena,2008,0
Ceará,Indígena,2009,0
Ceará,Indígena,2010,0
Ceará,Indígena,2011,1
Ceará,Indígena,2012,0
Ceará,Indígena,2013,0
Ceará,Indígena,2014,0
Ceará,Indígena,2015,1
Ceará,Indígena,2016,1
Ceará,Indígena,2017,0
Ceará,Indígena,2018,0
Ceará,Indígena,2019,0
Ceará,Indígena,2020,1
Ceará,Indígena,2021,0
Ceará,Indígena, Total período,5
Ceará,Parda,1996,0
Ceará,Parda,1997,7
Ceará,Parda,1998,24
Ceará,Parda,1999,47
Ceará,Parda,2000,46
Ceará,Parda,2001,39
Ceará,Parda,2002,45
Ceará,Parda,2003,45
Ceará,Parda,2004,63
Ceará,Parda,2005,68
Ceará,Parda,2006,64
Ceará,Parda,2007,59
Ceará,Parda,2008,52
Ceará,Parda,2009,55
Ceará,Parda,2010,55
Ceará,Parda,2011,58
Ceará,Parda,2012,56
Ceará,Parda,2013,72
Ceará,Parda,2014,57
Ceará,Parda,2015,55
Ceará,Parda,2016,50
Ceará,Parda,2017,68
Ceará,Parda,2018,70
Ceará,Parda,2019,62
Ceará,Parda,2020,84
Ceará,Parda,2021,98
Ceará,Parda, Total período,1.399
Ceará,Preta,1996,
Ceará,Preta,1997,2
Ceará,Preta,1998,3
Ceará,Preta,1999,4
Ceará,Preta,2000,6
Ceará,Preta,2001,7
Ceará,Preta,2002,5
Ceará,Preta,2003,8
Ceará,Preta,2004,8
Ceará,Preta,2005,8
Ceará,Preta,2006,2
Ceará,Preta,2007,5
Ceará,Preta,2008,3
Ceará,Preta,2009,3
Ceará,Preta,2010,3
Ceará,Preta,2011,3
Ceará,Preta,2012,2
Ceará,Preta,2013,0
Ceará,Preta,2014,2
Ceará,Preta,2015,3
Ceará,Preta,2016,3
Ceará,Preta,2017,3
Ceará,Preta,2018,3
Ceará,Preta,2019,2
Ceará,Preta,2020,6
Ceará,Preta,2021,4
Ceará,Preta, Total período,98
Ceará,Total,1994,0
Ceará,Total,1995,0
Ceará,Total,1996,110
Ceará,Total,1997,106
Ceará,Total,1998,131
Ceará,Total,1999,117
Ceará,Total,2000,103
Ceará,Total,2001,101
Ceará,Total,2002,93
Ceará,Total,2003,96
Ceará,Total,2004,108
Ceará,Total,2005,115
Ceará,Total,2006,91
Ceará,Total,2007,84
Ceará,Total,2008,67
Ceará,Total,2009,87
Ceará,Total,2010,91
Ceará,Total,2011,88
Ceará,Total,2012,88
Ceará,Total,2013,93
Ceará,Total,2014,84
Ceará,Total,2015,65
Ceará,Total,2016,74
Ceará,Total,2017,84
Ceará,Total,2018,90
Ceará,Total,2019,75
Ceará,Total,2020,119
