local,raca_cor,ano,incidencia_cancer_mama
Brasil,Amarela,1932,0
Nordeste,Amarela,1932,0
Brasil,Amarela,1935,0
Brasil,Amarela,1939,0
Brasil,Amarela,1943,0
Nordeste,Amarela,1943,0
Brasil,Amarela,1946,0
Nordeste,Amarela,1946,0
Brasil,Amarela,1954,0
Brasil,Amarela,1955,0
Nordeste,Amarela,1955,0
Brasil,Amarela,1957,0
Brasil,Amarela,1958,0
Nordeste,Amarela,1958,0
Brasil,Amarela,1959,1
Nordeste,Amarela,1959,1
Brasil,Amarela,1962,0
Nordeste,Amarela,1962,0
Brasil,Amarela,1963,0
Fortaleza,Amarela,1963,0
Ceará,Amarela,1963,0
Nordeste,Amarela,1963,0
Brasil,Amarela,1965,0
Nordeste,Amarela,1965,0
Brasil,Amarela,1966,0
Brasil,Amarela,1967,0
Nordeste,Amarela,1967,0
Brasil,Amarela,1970,0
Brasil,Amarela,1971,0
Brasil,Amarela,1972,0
Nordeste,Amarela,1972,0
Brasil,Amarela,1973,0
Brasil,Amarela,1974,0
Nordeste,Amarela,1974,0
Brasil,Amarela,1975,0
Brasil,Amarela,1976,0
Nordeste,Amarela,1976,0
Brasil,Amarela,1977,1
Nordeste,Amarela,1977,0
Brasil,Amarela,1978,0
Nordeste,Amarela,1978,0
Brasil,Amarela,1979,0
Nordeste,Amarela,1979,0
Brasil,Amarela,1980,0
Nordeste,Amarela,1980,0
Brasil,Amarela,1981,0
Nordeste,Amarela,1981,0
Brasil,Amarela,1982,0
Nordeste,Amarela,1982,0
Brasil,Amarela,1983,0
Nordeste,Amarela,1983,0
Brasil,Amarela,1984,0
Nordeste,Amarela,1984,0
Brasil,Amarela,1985,1
Nordeste,Amarela,1985,1
Brasil,Amarela,1986,0
Nordeste,Amarela,1986,0
Brasil,Amarela,1987,0
Nordeste,Amarela,1987,0
Brasil,Amarela,1988,0
Fortaleza,Amarela,1988,0
Ceará,Amarela,1988,0
Nordeste,Amarela,1988,0
Brasil,Amarela,1989,0
Ceará,Amarela,1989,0
Nordeste,Amarela,1989,0
Brasil,Amarela,1990,0
Fortaleza,Amarela,1990,0
Ceará,Amarela,1990,0
Nordeste,Amarela,1990,0
Brasil,Amarela,1991,0
Ceará,Amarela,1991,0
Nordeste,Amarela,1991,0
Brasil,Amarela,1992,2
Fortaleza,Amarela,1992,0
Ceará,Amarela,1992,0
Nordeste,Amarela,1992,0
Brasil,Amarela,1993,0
Fortaleza,Amarela,1993,0
Ceará,Amarela,1993,0
Nordeste,Amarela,1993,0
Brasil,Amarela,1994,0
Fortaleza,Amarela,1994,0
Ceará,Amarela,1994,0
Nordeste,Amarela,1994,0
Brasil,Amarela,1995,0
Fortaleza,Amarela,1995,0
Ceará,Amarela,1995,0
Nordeste,Amarela,1995,0
Brasil,Amarela,1996,3
Fortaleza,Amarela,1996,0
Ceará,Amarela,1996,0
Nordeste,Amarela,1996,2
Brasil,Amarela,1997,2
Fortaleza,Amarela,1997,0
Ceará,Amarela,1997,0
Nordeste,Amarela,1997,0
Brasil,Amarela,1998,6
Fortaleza,Amarela,1998,0
Ceará,Amarela,1998,0
Nordeste,Amarela,1998,3
Brasil,Amarela,1999,14
Fortaleza,Amarela,1999,0
Ceará,Amarela,1999,1
Nordeste,Amarela,1999,10
Brasil,Amarela,2000,29
Fortaleza,Amarela,2000,3
Ceará,Amarela,2000,3
Nordeste,Amarela,2000,13
Brasil,Amarela,2001,25
Fortaleza,Amarela,2001,6
Ceará,Amarela,2001,7
Nordeste,Amarela,2001,12
Brasil,Amarela,2002,36
Fortaleza,Amarela,2002,13
Ceará,Amarela,2002,13
Nordeste,Amarela,2002,14
Brasil,Amarela,2003,49
Fortaleza,Amarela,2003,2
Ceará,Amarela,2003,4
Nordeste,Amarela,2003,34
Brasil,Amarela,2004,37
Fortaleza,Amarela,2004,3
Ceará,Amarela,2004,3
Nordeste,Amarela,2004,21
Brasil,Amarela,2005,42
Fortaleza,Amarela,2005,0
Ceará,Amarela,2005,0
Nordeste,Amarela,2005,14
Brasil,Amarela,2006,89
Fortaleza,Amarela,2006,1
Ceará,Amarela,2006,2
Nordeste,Amarela,2006,24
Brasil,Amarela,2007,69
Fortaleza,Amarela,2007,4
Ceará,Amarela,2007,9
Nordeste,Amarela,2007,22
Brasil,Amarela,2008,89
Fortaleza,Amarela,2008,4
Ceará,Amarela,2008,8
Nordeste,Amarela,2008,45
Brasil,Amarela,2009,299
Fortaleza,Amarela,2009,5
Ceará,Amarela,2009,6
Nordeste,Amarela,2009,129
Brasil,Amarela,2010,456
Fortaleza,Amarela,2010,7
Ceará,Amarela,2010,17
Nordeste,Amarela,2010,338
Brasil,Amarela,2011,311
Fortaleza,Amarela,2011,20
Ceará,Amarela,2011,33
Nordeste,Amarela,2011,200
Brasil,Amarela,2012,314
Fortaleza,Amarela,2012,26
Ceará,Amarela,2012,35
Nordeste,Amarela,2012,211
Brasil,Amarela,2013,265
Fortaleza,Amarela,2013,4
Ceará,Amarela,2013,8
Nordeste,Amarela,2013,128
Brasil,Amarela,2014,222
Fortaleza,Amarela,2014,2
Ceará,Amarela,2014,5
Nordeste,Amarela,2014,97
Brasil,Amarela,2015,183
Fortaleza,Amarela,2015,2
Ceará,Amarela,2015,3
Nordeste,Amarela,2015,40
Brasil,Amarela,2016,215
Fortaleza,Amarela,2016,3
Ceará,Amarela,2016,6
Nordeste,Amarela,2016,70
Brasil,Amarela,2017,213
Fortaleza,Amarela,2017,5
Ceará,Amarela,2017,8
Nordeste,Amarela,2017,53
Brasil,Amarela,2018,231
Fortaleza,Amarela,2018,0
Ceará,Amarela,2018,1
Nordeste,Amarela,2018,79
Brasil,Amarela,2019,211
Fortaleza,Amarela,2019,5
Ceará,Amarela,2019,9
Nordeste,Amarela,2019,68
Brasil,Amarela,2020,148
Fortaleza,Amarela,2020,1
Ceará,Amarela,2020,3
Nordeste,Amarela,2020,35
Brasil,Branca,1932,0
Nordeste,Branca,1932,0
Brasil,Branca,1935,1
Brasil,Branca,1939,1
Brasil,Branca,1943,1
Nordeste,Branca,1943,1
Brasil,Branca,1946,0
Nordeste,Branca,1946,0
Brasil,Branca,1954,0
Brasil,Branca,1955,2
Nordeste,Branca,1955,1
Brasil,Branca,1957,1
Brasil,Branca,1958,1
Nordeste,Branca,1958,0
Brasil,Branca,1959,0
Nordeste,Branca,1959,0
Brasil,Branca,1962,1
Nordeste,Branca,1962,1
Brasil,Branca,1963,0
Fortaleza,Branca,1963,0
Ceará,Branca,1963,0
Nordeste,Branca,1963,0
Brasil,Branca,1965,0
Nordeste,Branca,1965,0
Brasil,Branca,1966,1
Brasil,Branca,1967,0
Nordeste,Branca,1967,0
Brasil,Branca,1970,2
Brasil,Branca,1971,1
Brasil,Branca,1972,4
Nordeste,Branca,1972,2
Brasil,Branca,1973,2
Brasil,Branca,1974,1
Nordeste,Branca,1974,1
Brasil,Branca,1975,3
Brasil,Branca,1976,7
Nordeste,Branca,1976,1
Brasil,Branca,1977,10
Nordeste,Branca,1977,3
Brasil,Branca,1978,4
Nordeste,Branca,1978,0
Brasil,Branca,1979,10
Nordeste,Branca,1979,3
Brasil,Branca,1980,7
Nordeste,Branca,1980,2
Brasil,Branca,1981,8
Nordeste,Branca,1981,1
Brasil,Branca,1982,12
Nordeste,Branca,1982,0
Brasil,Branca,1983,12
Nordeste,Branca,1983,2
Brasil,Branca,1984,18
Nordeste,Branca,1984,2
Brasil,Branca,1985,13
Nordeste,Branca,1985,1
Brasil,Branca,1986,19
Nordeste,Branca,1986,1
Brasil,Branca,1987,25
Nordeste,Branca,1987,2
Brasil,Branca,1988,42
Fortaleza,Branca,1988,1
Ceará,Branca,1988,1
Nordeste,Branca,1988,3
Brasil,Branca,1989,46
Ceará,Branca,1989,0
Nordeste,Branca,1989,7
Brasil,Branca,1990,52
Fortaleza,Branca,1990,0
Ceará,Branca,1990,0
Nordeste,Branca,1990,6
Brasil,Branca,1991,59
Ceará,Branca,1991,0
Nordeste,Branca,1991,8
Brasil,Branca,1992,86
Fortaleza,Branca,1992,1
Ceará,Branca,1992,1
Nordeste,Branca,1992,11
Brasil,Branca,1993,107
Fortaleza,Branca,1993,4
Ceará,Branca,1993,4
Nordeste,Branca,1993,19
Brasil,Branca,1994,129
Fortaleza,Branca,1994,0
Ceará,Branca,1994,0
